no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,loan_status,total_assets_value
2, Graduate, No,9600000,29900000,12,778, Approved,50700000
0, Not Graduate, Yes,4100000,12200000,8,417, Rejected,17000000
3, Graduate, No,9100000,29700000,20,506, Rejected,57700000
3, Graduate, No,8200000,30700000,8,467, Rejected,52700000
5, Not Graduate, Yes,9800000,24200000,20,382, Rejected,55000000
0, Graduate, Yes,4800000,13500000,10,319, Rejected,33900000
5, Graduate, No,8700000,33000000,4,678, Approved,70800000
2, Graduate, Yes,5700000,15000000,20,382, Rejected,36700000
0, Graduate, Yes,800000,2200000,20,782, Approved,5500000
5, Not Graduate, No,1100000,4300000,10,388, Rejected,9500000
4, Graduate, Yes,2900000,11200000,2,547, Approved,25400000
2, Not Graduate, Yes,6700000,22700000,18,538, Rejected,47900000
3, Not Graduate, Yes,5000000,11600000,16,311, Rejected,34900000
2, Graduate, Yes,9100000,31500000,14,679, Approved,53300000
1, Not Graduate, No,1900000,7400000,6,469, Rejected,10900000
5, Not Graduate, No,4700000,10700000,10,794, Approved,30400000
2, Graduate, Yes,500000,1600000,4,663, Approved,3400000
4, Not Graduate, Yes,2900000,9400000,14,780, Approved,16700000
2, Graduate, No,2700000,10300000,10,736, Approved,10500000
5, Graduate, No,6300000,14600000,12,652, Approved,43200000
2, Graduate, No,5000000,19400000,12,315, Rejected,35200000
4, Graduate, No,5800000,14000000,16,530, Rejected,42700000
4, Graduate, Yes,6500000,25700000,18,311, Rejected,42800000
0, Not Graduate, Yes,500000,1400000,2,551, Approved,2900000
0, Not Graduate, No,4900000,9800000,16,324, Rejected,25800000
5, Not Graduate, No,3100000,9500000,20,514, Rejected,20200000
4, Graduate, No,8200000,28100000,12,696, Approved,54600000
4, Not Graduate, Yes,2400000,5600000,4,662, Approved,16600000
5, Not Graduate, Yes,7000000,24000000,6,336, Rejected,51400000
3, Not Graduate, Yes,9000000,31500000,10,850, Approved,75900000
