person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
21.0,Female,High School,12282.0,0,Own,1000.0,Education,11.14,0.08,2.0,504,Yes,0
21.0,Female,High School,12951.0,0,Own,2500.0,Venture,7.14,0.19,2.0,532,No,1
21.0,Female,High School,12739.0,0,Own,1600.0,Venture,14.74,0.13,3.0,640,No,1
21.0,Female,Associate,13113.0,0,Own,4500.0,Homeimprovement,8.63,0.34,2.0,651,No,1
24.0,Female,Master,14283.0,1,Mortgage,1750.0,Education,10.99,0.12,2.0,679,No,1
24.0,Female,Bachelor,13866.0,0,Own,1500.0,Personal,7.29,0.11,3.0,600,Yes,0
21.0,Female,Associate,14288.0,0,Mortgage,4575.0,Venture,17.74,0.32,3.0,626,No,1
23.0,Male,High School,14293.0,0,Own,1400.0,Personal,9.32,0.1,3.0,607,No,0
21.0,Female,Bachelor,14988.0,0,Other,4000.0,Education,12.84,0.27,2.0,553,No,1
21.0,Male,High School,14858.0,0,Own,2000.0,Medical,11.12,0.13,3.0,589,No,1
21.0,Male,Associate,15150.0,0,Own,2500.0,Education,7.51,0.17,4.0,600,No,1
24.0,Female,High School,15082.0,0,Own,2500.0,Venture,12.69,0.17,3.0,631,No,1
24.0,Male,Associate,15229.0,1,Own,1750.0,Venture,11.01,0.11,3.0,631,Yes,0
22.0,Male,Associate,15013.0,0,Mortgage,1500.0,Education,14.84,0.1,3.0,688,No,0
25.0,Male,High School,15162.0,1,Own,3000.0,Medical,11.01,0.2,3.0,564,No,1
21.0,Female,High School,15307.0,0,Own,3000.0,Education,13.61,0.2,3.0,557,No,1
21.0,Female,Bachelor,15252.0,0,Own,4200.0,Personal,13.48,0.28,4.0,663,No,1
22.0,Male,Bachelor,15432.0,3,Own,4750.0,Debtconsolidation,7.14,0.31,2.0,601,No,1
26.0,Male,Bachelor,15505.0,0,Own,2700.0,Debtconsolidation,11.01,0.17,4.0,587,No,1
21.0,Female,Bachelor,15394.0,0,Mortgage,3250.0,Debtconsolidation,15.68,0.21,3.0,518,No,1
24.0,Female,Bachelor,15928.0,1,Own,1600.0,Medical,13.57,0.1,3.0,689,Yes,0
