person_gender,person_education,person_income,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status,net_disposable_income
Female,Master,71948.0,Rent,19200.0,Personal,16.0,0.31,3.0,561,No,1,68876.0
Female,High School,28367.0,Own,3000.0,Education,11.14,0.08,2.0,539,Yes,0,28032.8
Female,High School,28367.0,Mortgage,5500.0,Medical,12.87,0.31,3.0,635,No,1,27659.15
Female,Bachelor,79753.0,Rent,19200.0,Medical,15.23,0.31,2.0,675,No,1,76828.84
Male,Master,66135.0,Rent,19200.0,Medical,14.27,0.31,4.0,586,No,1,63395.16
Female,High School,28367.0,Own,3000.0,Venture,7.14,0.19,2.0,539,No,1,28152.8
Female,Bachelor,93471.0,Rent,19200.0,Education,12.42,0.31,3.0,701,No,1,91086.36
Female,High School,95550.0,Rent,19200.0,Medical,11.11,0.31,4.0,585,No,1,93416.88
Female,Associate,100684.0,Rent,19200.0,Personal,8.9,0.31,2.0,544,No,1,98975.2
Female,High School,28367.0,Own,3000.0,Venture,14.74,0.13,3.0,640,No,1,27924.8
Female,High School,102985.0,Rent,19200.0,Venture,10.37,0.31,4.0,621,No,1,100993.96
Female,Associate,28367.0,Own,4500.0,Homeimprovement,8.63,0.31,2.0,651,No,1,27978.65
Male,Bachelor,114860.0,Rent,19200.0,Venture,7.9,0.3,2.0,573,No,1,113343.2
Male,Master,130713.0,Rent,19200.0,Education,16.0,0.27,4.0,703,No,1,127641.0
Female,Associate,138998.0,Rent,19200.0,Education,7.9,0.25,4.0,583,No,0,137481.2
Female,Master,166754.0,Mortgage,19200.0,Debtconsolidation,10.65,0.05,3.0,670,Yes,0,164709.2
Male,Bachelor,144943.0,Rent,19200.0,Education,7.9,0.24,4.0,663,No,0,143426.2
Female,High School,111369.0,Rent,19200.0,Medical,16.0,0.31,4.0,694,No,1,108297.0
Male,Bachelor,136628.0,Rent,19200.0,Debtconsolidation,16.0,0.26,4.0,703,No,1,133556.0
Female,Master,28367.0,Mortgage,3000.0,Education,10.99,0.12,2.0,679,No,1,28037.3
Male,Bachelor,166754.0,Rent,19200.0,Venture,7.49,0.18,4.0,684,Yes,0,165315.92
Male,High School,165792.0,Rent,19200.0,Personal,16.0,0.21,2.0,662,No,0,162720.0
